attack,mod,snr,fec,clean_amc_acc,attack_amc_acc,attack_oracle_crc,clean_crc,top10_crc,top10_amc,top20_crc,top20_amc,top50_crc,top50_amc
apgd,BPSK,18,False,0.975,0.0,1.0,1.0,0.965,0.0,1.0,0.005,1.0,0.0
apgd,QPSK,18,False,0.99,0.0,1.0,1.0,0.53,0.0,1.0,0.0,1.0,0.0
apgd,QPSK,18,True,0.04,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
apgd,8PSK,18,False,0.97,0.0,0.87,1.0,0.02,0.0,0.81,0.0,0.87,0.0
apgd,8PSK,18,True,0.945,0.0,1.0,1.0,0.965,0.0,1.0,0.005,1.0,0.0
apgd,QAM16,18,False,0.76,0.0,0.415,1.0,0.005,0.03,0.355,0.01,0.425,0.0
apgd,QAM16,18,True,0.76,0.0,1.0,1.0,0.825,0.05,0.99,0.025,1.0,0.005
apgd,QAM64,18,False,0.9,0.0,0.095,0.935,0.01,0.94,0.03,0.155,0.095,0.015
apgd,QAM64,18,True,0.91,0.0,0.885,1.0,0.1,0.905,0.795,0.13,0.885,0.025
apgd,PAM4,18,False,1.0,0.0,0.645,1.0,0.025,0.15,0.555,0.035,0.64,0.005
apgd,PAM4,18,True,0.08,0.0,1.0,1.0,0.895,0.01,1.0,0.005,1.0,0.0
bim,BPSK,18,False,0.975,0.0,1.0,1.0,0.935,0.0,1.0,0.015,1.0,0.0
bim,QPSK,18,False,0.99,0.0,0.995,1.0,0.475,0.0,0.99,0.0,0.995,0.0
bim,QPSK,18,True,0.04,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
bim,8PSK,18,False,0.97,0.0,0.835,1.0,0.03,0.0,0.745,0.0,0.83,0.0
bim,8PSK,18,True,0.945,0.0,1.0,1.0,0.98,0.0,1.0,0.0,1.0,0.0
bim,QAM16,18,False,0.76,0.0,0.395,1.0,0.01,0.02,0.275,0.0,0.37,0.0
bim,QAM16,18,True,0.76,0.0,1.0,1.0,0.815,0.02,0.995,0.0,1.0,0.0
bim,QAM64,18,False,0.9,0.0,0.005,0.935,0.005,0.945,0.005,0.04,0.0,0.0
bim,QAM64,18,True,0.91,0.0,0.895,1.0,0.16,0.925,0.84,0.04,0.885,0.0
bim,PAM4,18,False,1.0,0.0,0.74,1.0,0.03,0.15,0.665,0.045,0.71,0.01
bim,PAM4,18,True,0.08,0.0,0.93,1.0,0.77,0.0,0.94,0.0,0.945,0.0
mifgsm,BPSK,18,False,0.975,0.05,1.0,1.0,0.97,0.0,1.0,0.06,1.0,0.055
mifgsm,QPSK,18,False,0.99,0.005,1.0,1.0,0.64,0.0,1.0,0.0,1.0,0.005
mifgsm,QPSK,18,True,0.04,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
mifgsm,8PSK,18,False,0.97,0.0,0.86,1.0,0.03,0.0,0.785,0.0,0.855,0.0
mifgsm,8PSK,18,True,0.945,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
mifgsm,QAM16,18,False,0.76,0.0,0.34,1.0,0.0,0.03,0.29,0.0,0.325,0.0
mifgsm,QAM16,18,True,0.76,0.0,1.0,1.0,0.82,0.03,0.99,0.0,0.995,0.0
mifgsm,QAM64,18,False,0.9,0.0,0.005,0.935,0.005,0.915,0.005,0.04,0.005,0.0
mifgsm,QAM64,18,True,0.91,0.0,0.905,1.0,0.09,0.91,0.845,0.02,0.885,0.0
mifgsm,PAM4,18,False,1.0,0.085,0.93,1.0,0.045,0.27,0.855,0.15,0.95,0.085
mifgsm,PAM4,18,True,0.08,0.0,0.97,1.0,0.815,0.0,0.97,0.0,0.965,0.0
pgd,BPSK,18,False,0.975,0.005,1.0,1.0,0.965,0.0,1.0,0.055,1.0,0.015
pgd,QPSK,18,False,0.99,0.0,1.0,1.0,0.45,0.0,0.995,0.0,1.0,0.0
pgd,QPSK,18,True,0.04,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
pgd,8PSK,18,False,0.97,0.0,0.885,1.0,0.03,0.0,0.78,0.0,0.895,0.0
pgd,8PSK,18,True,0.945,0.0,1.0,1.0,0.995,0.0,1.0,0.0,1.0,0.0
pgd,QAM16,18,False,0.76,0.0,0.37,1.0,0.01,0.02,0.26,0.0,0.365,0.0
pgd,QAM16,18,True,0.76,0.0,1.0,1.0,0.825,0.03,1.0,0.0,1.0,0.0
pgd,QAM64,18,False,0.9,0.0,0.005,0.935,0.005,0.94,0.005,0.07,0.0,0.0
pgd,QAM64,18,True,0.91,0.0,0.895,1.0,0.125,0.915,0.825,0.08,0.905,0.0
pgd,PAM4,18,False,1.0,0.01,0.7,1.0,0.04,0.22,0.655,0.09,0.71,0.025
pgd,PAM4,18,True,0.08,0.0,0.93,1.0,0.78,0.0,0.94,0.0,0.945,0.0
rfgsm,BPSK,18,False,0.975,0.0,1.0,1.0,0.95,0.0,1.0,0.025,1.0,0.0
rfgsm,QPSK,18,False,0.99,0.0,1.0,1.0,0.455,0.0,1.0,0.0,1.0,0.0
rfgsm,QPSK,18,True,0.04,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
rfgsm,8PSK,18,False,0.97,0.0,0.855,1.0,0.035,0.0,0.77,0.0,0.85,0.0
rfgsm,8PSK,18,True,0.945,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
rfgsm,QAM16,18,False,0.76,0.0,0.39,1.0,0.01,0.04,0.27,0.0,0.385,0.0
rfgsm,QAM16,18,True,0.76,0.0,1.0,1.0,0.79,0.025,1.0,0.0,1.0,0.0
rfgsm,QAM64,18,False,0.9,0.0,0.0,0.935,0.005,0.94,0.015,0.055,0.01,0.0
rfgsm,QAM64,18,True,0.91,0.0,0.93,1.0,0.155,0.94,0.855,0.055,0.94,0.0
rfgsm,PAM4,18,False,1.0,0.005,0.77,1.0,0.03,0.135,0.695,0.04,0.765,0.005
rfgsm,PAM4,18,True,0.08,0.0,0.93,1.0,0.765,0.0,0.92,0.0,0.925,0.0
vmifgsm,BPSK,18,False,0.975,0.035,1.0,1.0,0.955,0.0,1.0,0.045,1.0,0.04
vmifgsm,QPSK,18,False,0.99,0.0,1.0,1.0,0.615,0.0,1.0,0.0,1.0,0.0
vmifgsm,QPSK,18,True,0.04,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
vmifgsm,8PSK,18,False,0.97,0.0,0.86,1.0,0.02,0.0,0.775,0.0,0.855,0.0
vmifgsm,8PSK,18,True,0.945,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
vmifgsm,QAM16,18,False,0.76,0.0,0.435,1.0,0.0,0.04,0.325,0.0,0.415,0.0
vmifgsm,QAM16,18,True,0.76,0.0,1.0,1.0,0.83,0.045,1.0,0.0,1.0,0.0
vmifgsm,QAM64,18,False,0.9,0.0,0.005,0.935,0.0,0.9,0.01,0.035,0.005,0.0
vmifgsm,QAM64,18,True,0.91,0.0,0.9,1.0,0.095,0.9,0.81,0.03,0.87,0.0
vmifgsm,PAM4,18,False,1.0,0.075,0.91,1.0,0.04,0.27,0.845,0.135,0.915,0.08
vmifgsm,PAM4,18,True,0.08,0.0,0.945,1.0,0.815,0.0,0.95,0.0,0.95,0.0
vnifgsm,BPSK,18,False,0.975,0.005,1.0,1.0,0.965,0.0,1.0,0.04,1.0,0.03
vnifgsm,QPSK,18,False,0.99,0.0,1.0,1.0,0.6,0.0,1.0,0.0,1.0,0.0
vnifgsm,QPSK,18,True,0.04,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
vnifgsm,8PSK,18,False,0.97,0.0,0.89,1.0,0.045,0.0,0.805,0.0,0.885,0.0
vnifgsm,8PSK,18,True,0.945,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
vnifgsm,QAM16,18,False,0.76,0.0,0.39,1.0,0.0,0.025,0.32,0.0,0.4,0.0
vnifgsm,QAM16,18,True,0.76,0.0,1.0,1.0,0.82,0.025,1.0,0.0,1.0,0.0
vnifgsm,QAM64,18,False,0.9,0.0,0.005,0.935,0.005,0.91,0.01,0.035,0.01,0.0
vnifgsm,QAM64,18,True,0.91,0.0,0.89,1.0,0.085,0.905,0.81,0.025,0.875,0.0
vnifgsm,PAM4,18,False,1.0,0.06,0.93,1.0,0.045,0.28,0.845,0.125,0.935,0.065
vnifgsm,PAM4,18,True,0.08,0.0,0.95,1.0,0.815,0.0,0.95,0.0,0.955,0.0
apgd,BPSK,0,False,0.755,0.0,0.93,1.0,0.655,0.0,0.875,0.01,0.915,0.03
apgd,QPSK,0,False,0.485,0.0,0.535,0.8,0.115,0.0,0.345,0.01,0.495,0.035
apgd,QPSK,0,True,0.03,0.0,0.995,0.995,0.94,0.0,0.985,0.005,1.0,0.01
apgd,8PSK,0,False,0.345,0.0,0.04,0.065,0.005,0.0,0.01,0.035,0.03,0.115
apgd,8PSK,0,True,0.36,0.0,0.99,1.0,0.87,0.0,0.985,0.025,0.98,0.11
apgd,QAM16,0,False,0.615,0.0,0.0,0.005,0.0,0.115,0.0,0.21,0.0,0.155
apgd,QAM16,0,True,0.57,0.0,0.645,0.875,0.295,0.155,0.535,0.23,0.605,0.115
apgd,QAM64,0,False,0.21,0.0,0.0,0.0,0.01,0.865,0.0,0.59,0.0,0.175
apgd,QAM64,0,True,0.2,0.0,0.18,0.21,0.015,0.91,0.06,0.555,0.155,0.125
apgd,PAM4,0,False,0.755,0.0,0.04,0.19,0.0,0.335,0.03,0.205,0.045,0.1
apgd,PAM4,0,True,0.385,0.0,0.62,0.81,0.555,0.04,0.64,0.055,0.61,0.04
bim,BPSK,0,False,0.755,0.0,0.895,1.0,0.585,0.0,0.865,0.0,0.89,0.0
bim,QPSK,0,False,0.485,0.0,0.32,0.8,0.045,0.0,0.24,0.0,0.29,0.0
bim,QPSK,0,True,0.03,0.0,0.975,0.995,0.775,0.0,0.88,0.0,0.95,0.0
bim,8PSK,0,False,0.345,0.0,0.005,0.065,0.005,0.0,0.0,0.035,0.015,0.0
bim,8PSK,0,True,0.36,0.0,0.99,1.0,0.775,0.0,0.95,0.02,0.975,0.0
bim,QAM16,0,False,0.615,0.0,0.0,0.005,0.005,0.13,0.0,0.175,0.0,0.0
bim,QAM16,0,True,0.57,0.0,0.585,0.875,0.185,0.085,0.425,0.16,0.57,0.0
bim,QAM64,0,False,0.21,0.0,0.005,0.0,0.0,0.82,0.0,0.225,0.005,0.0
bim,QAM64,0,True,0.2,0.0,0.06,0.21,0.005,0.8,0.04,0.2,0.07,0.0
bim,PAM4,0,False,0.755,0.0,0.03,0.19,0.01,0.355,0.005,0.11,0.02,0.0
bim,PAM4,0,True,0.385,0.0,0.42,0.81,0.44,0.0,0.495,0.0,0.49,0.0
mifgsm,BPSK,0,False,0.755,0.0,0.925,1.0,0.62,0.0,0.845,0.0,0.92,0.0
mifgsm,QPSK,0,False,0.485,0.0,0.275,0.8,0.03,0.0,0.2,0.0,0.27,0.0
mifgsm,QPSK,0,True,0.03,0.0,0.985,0.995,0.8,0.0,0.895,0.0,0.965,0.0
mifgsm,8PSK,0,False,0.345,0.0,0.005,0.065,0.0,0.0,0.005,0.005,0.01,0.0
mifgsm,8PSK,0,True,0.36,0.0,0.995,1.0,0.755,0.0,0.93,0.025,0.98,0.0
mifgsm,QAM16,0,False,0.615,0.0,0.0,0.005,0.005,0.11,0.01,0.135,0.005,0.01
mifgsm,QAM16,0,True,0.57,0.0,0.58,0.875,0.205,0.105,0.445,0.14,0.6,0.0
mifgsm,QAM64,0,False,0.21,0.0,0.01,0.0,0.005,0.83,0.005,0.28,0.01,0.0
mifgsm,QAM64,0,True,0.2,0.0,0.05,0.21,0.005,0.87,0.01,0.285,0.065,0.0
mifgsm,PAM4,0,False,0.755,0.0,0.015,0.19,0.005,0.405,0.005,0.12,0.015,0.0
mifgsm,PAM4,0,True,0.385,0.0,0.48,0.81,0.485,0.005,0.525,0.0,0.485,0.0
pgd,BPSK,0,False,0.755,0.0,0.905,1.0,0.575,0.0,0.86,0.0,0.895,0.0
pgd,QPSK,0,False,0.485,0.0,0.3,0.8,0.04,0.0,0.215,0.0,0.265,0.0
pgd,QPSK,0,True,0.03,0.0,0.985,0.995,0.775,0.0,0.865,0.0,0.945,0.0
pgd,8PSK,0,False,0.345,0.0,0.03,0.065,0.005,0.0,0.005,0.03,0.015,0.0
pgd,8PSK,0,True,0.36,0.0,0.965,1.0,0.79,0.0,0.92,0.025,0.965,0.005
pgd,QAM16,0,False,0.615,0.0,0.005,0.005,0.005,0.155,0.005,0.17,0.0,0.0
pgd,QAM16,0,True,0.57,0.0,0.585,0.875,0.205,0.16,0.415,0.18,0.525,0.0
pgd,QAM64,0,False,0.21,0.0,0.0,0.0,0.0,0.835,0.0,0.325,0.01,0.0
pgd,QAM64,0,True,0.2,0.0,0.055,0.21,0.0,0.83,0.025,0.27,0.03,0.0
pgd,PAM4,0,False,0.755,0.0,0.025,0.19,0.01,0.36,0.015,0.12,0.035,0.0
pgd,PAM4,0,True,0.385,0.0,0.47,0.81,0.47,0.0,0.505,0.0,0.525,0.0
rfgsm,BPSK,0,False,0.755,0.0,0.92,1.0,0.6,0.0,0.855,0.0,0.915,0.0
rfgsm,QPSK,0,False,0.485,0.0,0.33,0.8,0.045,0.0,0.255,0.0,0.295,0.0
rfgsm,QPSK,0,True,0.03,0.0,0.97,0.995,0.75,0.0,0.875,0.0,0.925,0.0
rfgsm,8PSK,0,False,0.345,0.0,0.01,0.065,0.0,0.005,0.015,0.01,0.005,0.0
rfgsm,8PSK,0,True,0.36,0.0,0.975,1.0,0.815,0.0,0.96,0.03,0.975,0.0
rfgsm,QAM16,0,False,0.615,0.0,0.0,0.005,0.0,0.12,0.005,0.17,0.005,0.005
rfgsm,QAM16,0,True,0.57,0.0,0.6,0.875,0.27,0.135,0.42,0.175,0.53,0.0
rfgsm,QAM64,0,False,0.21,0.0,0.01,0.0,0.005,0.775,0.0,0.23,0.005,0.0
rfgsm,QAM64,0,True,0.2,0.0,0.035,0.21,0.0,0.78,0.035,0.23,0.03,0.0
rfgsm,PAM4,0,False,0.755,0.0,0.02,0.19,0.005,0.34,0.0,0.09,0.015,0.0
rfgsm,PAM4,0,True,0.385,0.0,0.45,0.81,0.455,0.0,0.51,0.0,0.5,0.0
vmifgsm,BPSK,0,False,0.755,0.0,0.895,1.0,0.625,0.0,0.83,0.0,0.855,0.0
vmifgsm,QPSK,0,False,0.485,0.0,0.26,0.8,0.04,0.0,0.25,0.0,0.24,0.0
vmifgsm,QPSK,0,True,0.03,0.0,0.98,0.995,0.8,0.0,0.87,0.0,0.945,0.0
vmifgsm,8PSK,0,False,0.345,0.0,0.005,0.065,0.0,0.0,0.005,0.0,0.01,0.0
vmifgsm,8PSK,0,True,0.36,0.0,0.975,1.0,0.77,0.0,0.92,0.01,0.97,0.0
vmifgsm,QAM16,0,False,0.615,0.0,0.0,0.005,0.0,0.13,0.0,0.185,0.0,0.0
vmifgsm,QAM16,0,True,0.57,0.0,0.545,0.875,0.145,0.155,0.365,0.13,0.475,0.0
vmifgsm,QAM64,0,False,0.21,0.0,0.005,0.0,0.005,0.71,0.0,0.255,0.0,0.0
vmifgsm,QAM64,0,True,0.2,0.0,0.02,0.21,0.005,0.74,0.0,0.235,0.035,0.0
vmifgsm,PAM4,0,False,0.755,0.0,0.005,0.19,0.0,0.35,0.01,0.08,0.0,0.0
vmifgsm,PAM4,0,True,0.385,0.0,0.4,0.81,0.445,0.0,0.47,0.0,0.445,0.0
vnifgsm,BPSK,0,False,0.755,0.0,0.9,1.0,0.62,0.0,0.825,0.0,0.865,0.0
vnifgsm,QPSK,0,False,0.485,0.0,0.265,0.8,0.04,0.0,0.215,0.0,0.255,0.0
vnifgsm,QPSK,0,True,0.03,0.0,0.985,0.995,0.78,0.0,0.885,0.0,0.955,0.0
vnifgsm,8PSK,0,False,0.345,0.0,0.01,0.065,0.01,0.0,0.0,0.005,0.005,0.0
vnifgsm,8PSK,0,True,0.36,0.0,0.975,1.0,0.765,0.0,0.93,0.005,0.975,0.0
vnifgsm,QAM16,0,False,0.615,0.0,0.0,0.005,0.005,0.135,0.0,0.15,0.0,0.0
vnifgsm,QAM16,0,True,0.57,0.0,0.525,0.875,0.135,0.18,0.335,0.175,0.49,0.0
vnifgsm,QAM64,0,False,0.21,0.0,0.005,0.0,0.005,0.72,0.01,0.265,0.0,0.0
vnifgsm,QAM64,0,True,0.2,0.0,0.035,0.21,0.005,0.745,0.03,0.24,0.04,0.0
vnifgsm,PAM4,0,False,0.755,0.0,0.02,0.19,0.015,0.325,0.01,0.065,0.03,0.0
vnifgsm,PAM4,0,True,0.385,0.0,0.4,0.81,0.44,0.0,0.485,0.0,0.465,0.0
